GEOID10,STUSPS10,NAME10,DP0010001,PNTCNT,MORCNT
56,WY,Wyoming,563626,2,16
42,PA,Pennsylvania,12702379,40,10
39,OH,Ohio,11536504,35,14
35,NM,New Mexico,2059179,2,14
24,MD,Maryland,5773552,18,7
44,RI,Rhode Island,1052567,1,
41,OR,Oregon,3831074,11,36
72,PR,Puerto Rico,3725789,0,9
55,WI,Wisconsin,5686986,9,6
38,ND,North Dakota,672591,1,2
32,NV,Nevada,2700551,4,36
13,GA,Georgia,9687653,32,17
36,NY,New York,19378102,47,16
5,AR,Arkansas,2915918,16,5
20,KS,Kansas,2853118,7,7
31,NE,Nebraska,1826341,5,4
49,UT,Utah,2763885,2,580
2,AK,Alaska,710231,0,7
28,MS,Mississippi,2967297,18,4
40,OK,Oklahoma,3751351,6,8
54,WV,West Virginia,1852994,4,4
26,MI,Michigan,9883640,28,8
8,CO,Colorado,5029196,16,31
34,NJ,New Jersey,8791894,15,5
10,DE,Delaware,897934,4,2
30,MT,Montana,989415,7,11
53,WA,Washington,6724540,21,57
9,CT,Connecticut,3574097,5,3
6,CA,California,37253956,79,179
21,KY,Kentucky,4339367,24,7
25,MA,Massachusetts,6547629,12,4
12,FL,Florida,18801310,63,27
16,ID,Idaho,1567582,12,127
29,MO,Missouri,5988927,24,17
15,HI,Hawaii,1360301,0,15
1,AL,Alabama,4779736,27,7
45,SC,South Carolina,4625364,12,6
33,NH,New Hampshire,1316470,6,3
46,SD,South Dakota,814180,7,2
17,IL,Illinois,12830632,32,22
47,TN,Tennessee,6346105,38,10
18,IN,Indiana,6483802,25,11
19,IA,Iowa,3046355,4,8
4,AZ,Arizona,6392017,19,95
27,MN,Minnesota,5303925,10,8
22,LA,Louisiana,4533372,14,7
11,DC,District of Columbia,601723,22,1
51,VA,Virginia,8001024,41,20
48,TX,Texas,25145561,55,58
50,VT,Vermont,625741,1,1
23,ME,Maine,1328361,3,2
37,NC,North Carolina,9535483,31,16
